Дата,Проект,цена,Номеров,Использовали,Источник,как собиралось,Ответственный,link,статус,комментарий
13.02.2019,944,131.6,8148,780,Youfeed,Training,Melloney,http://dagondesign.com/metus/sapien/ut.js?integer=erat&non=quisque&velit=erat&donec=eros&diam=viverra&neque=eget&vestibulum=congue&eget=eget&vulputate=semper&ut=rutrum&ultrices=nulla&vel=nunc&augue=purus&vestibulum=phasellus&ante=in,false,
24.11.2017,E-Series,87.6,6725,890,Vinder,Engineering,Marten,,true,
29.08.2018,Aero 8,133.0,5775,491,Youfeed,,Otis,,,
21.03.2017,X6,34.3,2476,803,Skynoodle,,Donnie,https://dot.gov/maecenas/rhoncus/aliquam/lacus/morbi/quis.html?erat=nulla&eros=dapibus&viverra=dolor&eget=vel,,
07.09.2017,DeVille,96.4,8719,892,Agivu,Product Management,Kellen,,true,leverage
08.10.2019,626,19.2,9469,494,Feedfish,Human Resources,Rozele,https://imdb.com/pellentesque/volutpat.png?in=non&faucibus=mi&orci=integer&luctus=ac&et=neque&ultrices=duis&posuere=bibendum&cubilia=morbi&curae=non&donec=quam&pharetra=nec,true,
13.08.2018,Quattroporte,45.6,1362,127,Leexo,Engineering,Binnie,http://craigslist.org/in.json?morbi=sapien&vel=quis&lectus=libero&in=nullam&quam=sit&fringilla=amet&rhoncus=turpis&mauris=elementum&enim=ligula&leo=vehicula&rhoncus=consequat&sed=morbi&vestibulum=a&sit=ipsum&amet=integer&cursus=a,false,
18.03.2019,Skylark,134.7,7773,57,Ntags,Training,Maddie,,,
02.02.2018,Envoy,8.9,7624,499,Realpoint,Support,Dania,,true,
02.02.2019,Outlander Sport,107.7,2358,264,Zoonder,,Guss,http://free.fr/eu/orci/mauris.js?dictumst=ultrices&maecenas=aliquet&ut=maecenas&massa=leo&quis=odio&augue=condimentum&luctus=id&tincidunt=luctus&nulla=nec&mollis=molestie&molestie=sed&lorem=justo&quisque=pellentesque&ut=viverra&erat=pede&curabitur=ac&gravida=diam&nisi=cras&at=pellentesque&nibh=volutpat&in=dui&hac=maecenas&habitasse=tristique&platea=est&dictumst=et&aliquam=tempus&augue=semper&quam=est&sollicitudin=quam&vitae=pharetra&consectetuer=magna&eget=ac&rutrum=consequat&at=metus&lorem=sapien&integer=ut&tincidunt=nunc&ante=vestibulum&vel=ante&ipsum=ipsum&praesent=primis&blandit=in&lacinia=faucibus&erat=orci&vestibulum=luctus&sed=et&magna=ultrices&at=posuere&nunc=cubilia&commodo=curae&placerat=mauris&praesent=viverra&blandit=diam&nam=vitae&nulla=quam&integer=suspendisse&pede=potenti&justo=nullam&lacinia=porttitor&eget=lacus&tincidunt=at&eget=turpis&tempus=donec&vel=posuere&pede=metus&morbi=vitae&porttitor=ipsum&lorem=aliquam&id=non&ligula=mauris&suspendisse=morbi&ornare=non&consequat=lectus&lectus=aliquam,,
02.06.2018,Fusion,62.2,5413,221,Youfeed,Product Management,Daffi,,false,
20.05.2019,Land Cruiser,113.8,7463,210,Yakijo,Services,Wally,https://omniture.com/posuere/cubilia/curae/donec/pharetra/magna/vestibulum.jsp?praesent=dui&blandit=nec&lacinia=nisi&erat=volutpat&vestibulum=eleifend&sed=donec&magna=ut&at=dolor&nunc=morbi&commodo=vel&placerat=lectus&praesent=in&blandit=quam&nam=fringilla&nulla=rhoncus&integer=mauris&pede=enim&justo=leo&lacinia=rhoncus&eget=sed&tincidunt=vestibulum&eget=sit&tempus=amet&vel=cursus&pede=id&morbi=turpis&porttitor=integer&lorem=aliquet&id=massa&ligula=id&suspendisse=lobortis&ornare=convallis&consequat=tortor&lectus=risus&in=dapibus&est=augue&risus=vel&auctor=accumsan&sed=tellus&tristique=nisi&in=eu&tempus=orci&sit=mauris&amet=lacinia&sem=sapien&fusce=quis&consequat=libero&nulla=nullam&nisl=sit&nunc=amet&nisl=turpis&duis=elementum&bibendum=ligula&felis=vehicula&sed=consequat&interdum=morbi&venenatis=a&turpis=ipsum&enim=integer&blandit=a&mi=nibh&in=in&porttitor=quis&pede=justo&justo=maecenas&eu=rhoncus&massa=aliquam&donec=lacus&dapibus=morbi&duis=quis&at=tortor&velit=id&eu=nulla&est=ultrices&congue=aliquet&elementum=maecenas,false,
23.05.2019,Aero 8,135.2,9392,733,Vinder,,Carley,https://angelfire.com/nec/dui/luctus/rutrum/nulla.json?quis=platea&justo=dictumst&maecenas=maecenas&rhoncus=ut&aliquam=massa&lacus=quis&morbi=augue&quis=luctus&tortor=tincidunt&id=nulla&nulla=mollis&ultrices=molestie&aliquet=lorem&maecenas=quisque&leo=ut&odio=erat&condimentum=curabitur&id=gravida&luctus=nisi&nec=at&molestie=nibh&sed=in&justo=hac&pellentesque=habitasse&viverra=platea&pede=dictumst&ac=aliquam&diam=augue&cras=quam&pellentesque=sollicitudin&volutpat=vitae&dui=consectetuer&maecenas=eget&tristique=rutrum&est=at&et=lorem&tempus=integer&semper=tincidunt&est=ante&quam=vel&pharetra=ipsum&magna=praesent&ac=blandit&consequat=lacinia&metus=erat&sapien=vestibulum&ut=sed&nunc=magna&vestibulum=at&ante=nunc&ipsum=commodo&primis=placerat&in=praesent&faucibus=blandit&orci=nam&luctus=nulla&et=integer&ultrices=pede&posuere=justo&cubilia=lacinia&curae=eget&mauris=tincidunt&viverra=eget&diam=tempus&vitae=vel&quam=pede&suspendisse=morbi&potenti=porttitor&nullam=lorem&porttitor=id&lacus=ligula&at=suspendisse&turpis=ornare&donec=consequat&posuere=lectus&metus=in&vitae=est&ipsum=risus&aliquam=auctor&non=sed&mauris=tristique&morbi=in&non=tempus&lectus=sit&aliquam=amet&sit=sem&amet=fusce&diam=consequat,,process improvement
23.01.2020,Murciélago,13.2,2859,841,Digitube,Engineering,Ellen,,false,
08.07.2018,745,67.4,8172,541,Yodel,Accounting,Latisha,http://springer.com/eu/sapien/cursus/vestibulum.json?cursus=pede&urna=justo&ut=eu&tellus=massa&nulla=donec&ut=dapibus&erat=duis&id=at&mauris=velit&vulputate=eu&elementum=est&nullam=congue&varius=elementum&nulla=in&facilisi=hac&cras=habitasse&non=platea&velit=dictumst&nec=morbi&nisi=vestibulum&vulputate=velit&nonummy=id&maecenas=pretium&tincidunt=iaculis&lacus=diam&at=erat&velit=fermentum&vivamus=justo&vel=nec&nulla=condimentum,,
13.11.2019,Sonata,68.5,9138,383,Fadeo,Research and Development,Reamonn,https://fda.gov/primis/in/faucibus.xml?lobortis=dolor&sapien=sit&sapien=amet&non=consectetuer&mi=adipiscing&integer=elit&ac=proin&neque=interdum&duis=mauris&bibendum=non&morbi=ligula&non=pellentesque&quam=ultrices&nec=phasellus&dui=id&luctus=sapien&rutrum=in&nulla=sapien&tellus=iaculis&in=congue&sagittis=vivamus&dui=metus&vel=arcu&nisl=adipiscing&duis=molestie&ac=hendrerit&nibh=at&fusce=vulputate&lacus=vitae&purus=nisl&aliquet=aenean&at=lectus&feugiat=pellentesque&non=eget&pretium=nunc&quis=donec&lectus=quis&suspendisse=orci&potenti=eget&in=orci&eleifend=vehicula&quam=condimentum&a=curabitur&odio=in&in=libero&hac=ut&habitasse=massa&platea=volutpat&dictumst=convallis&maecenas=morbi&ut=odio&massa=odio&quis=elementum&augue=eu&luctus=interdum&tincidunt=eu&nulla=tincidunt&mollis=in&molestie=leo&lorem=maecenas&quisque=pulvinar&ut=lobortis&erat=est&curabitur=phasellus&gravida=sit&nisi=amet&at=erat&nibh=nulla&in=tempus&hac=vivamus&habitasse=in&platea=felis&dictumst=eu,false,
09.09.2019,RDX,78.4,6903,352,Thoughtstorm,Support,Adolph,http://zimbio.com/nascetur/ridiculus/mus/vivamus.json?vel=tincidunt&nulla=nulla&eget=mollis&eros=molestie&elementum=lorem&pellentesque=quisque&quisque=ut&porta=erat&volutpat=curabitur&erat=gravida&quisque=nisi&erat=at&eros=nibh&viverra=in&eget=hac&congue=habitasse&eget=platea&semper=dictumst&rutrum=aliquam&nulla=augue&nunc=quam&purus=sollicitudin&phasellus=vitae&in=consectetuer&felis=eget&donec=rutrum&semper=at&sapien=lorem&a=integer&libero=tincidunt&nam=ante&dui=vel&proin=ipsum&leo=praesent&odio=blandit&porttitor=lacinia&id=erat&consequat=vestibulum&in=sed&consequat=magna&ut=at&nulla=nunc&sed=commodo&accumsan=placerat&felis=praesent&ut=blandit&at=nam&dolor=nulla&quis=integer&odio=pede&consequat=justo&varius=lacinia&integer=eget&ac=tincidunt&leo=eget&pellentesque=tempus&ultrices=vel&mattis=pede&odio=morbi&donec=porttitor&vitae=lorem&nisi=id&nam=ligula&ultrices=suspendisse&libero=ornare&non=consequat&mattis=lectus&pulvinar=in&nulla=est&pede=risus&ullamcorper=auctor&augue=sed&a=tristique&suscipit=in&nulla=tempus&elit=sit&ac=amet&nulla=sem&sed=fusce&vel=consequat&enim=nulla&sit=nisl&amet=nunc&nunc=nisl&viverra=duis&dapibus=bibendum&nulla=felis&suscipit=sed&ligula=interdum&in=venenatis&lacus=turpis&curabitur=enim&at=blandit&ipsum=mi&ac=in&tellus=porttitor&semper=pede,true,
02.03.2019,Impreza,105.6,8090,195,Viva,Services,Emmye,http://shareasale.com/condimentum/curabitur/in/libero/ut/massa.jsp?ut=praesent&erat=lectus&id=vestibulum&mauris=quam&vulputate=sapien&elementum=varius&nullam=ut&varius=blandit&nulla=non&facilisi=interdum&cras=in&non=ante&velit=vestibulum&nec=ante&nisi=ipsum&vulputate=primis&nonummy=in&maecenas=faucibus&tincidunt=orci&lacus=luctus&at=et&velit=ultrices&vivamus=posuere&vel=cubilia&nulla=curae&eget=duis&eros=faucibus&elementum=accumsan&pellentesque=odio&quisque=curabitur&porta=convallis&volutpat=duis&erat=consequat&quisque=dui&erat=nec&eros=nisi&viverra=volutpat&eget=eleifend&congue=donec&eget=ut&semper=dolor&rutrum=morbi&nulla=vel&nunc=lectus&purus=in&phasellus=quam&in=fringilla&felis=rhoncus&donec=mauris&semper=enim&sapien=leo&a=rhoncus&libero=sed&nam=vestibulum&dui=sit&proin=amet&leo=cursus&odio=id&porttitor=turpis&id=integer&consequat=aliquet&in=massa&consequat=id&ut=lobortis&nulla=convallis&sed=tortor&accumsan=risus&felis=dapibus&ut=augue&at=vel&dolor=accumsan&quis=tellus&odio=nisi&consequat=eu&varius=orci&integer=mauris&ac=lacinia&leo=sapien&pellentesque=quis&ultrices=libero&mattis=nullam&odio=sit&donec=amet&vitae=turpis&nisi=elementum&nam=ligula,false,Enhanced
27.06.2018,Suburban 1500,21.8,4177,156,Skilith,Services,Eliza,,true,
02.05.2018,Forte,128.3,4865,99,Yodo,Services,El,http://google.com.hk/laoreet/ut/rhoncus/aliquet/pulvinar/sed.html?viverra=eu&dapibus=magna&nulla=vulputate&suscipit=luctus&ligula=cum&in=sociis&lacus=natoque&curabitur=penatibus&at=et&ipsum=magnis&ac=dis&tellus=parturient&semper=montes&interdum=nascetur&mauris=ridiculus&ullamcorper=mus&purus=vivamus&sit=vestibulum,false,Operative
15.06.2019,Grand Vitara,136.7,4710,306,Wikizz,Sales,Stephenie,http://hatena.ne.jp/in/hac/habitasse/platea/dictumst.json?ligula=in&nec=hac&sem=habitasse&duis=platea&aliquam=dictumst&convallis=aliquam&nunc=augue&proin=quam&at=sollicitudin&turpis=vitae&a=consectetuer&pede=eget&posuere=rutrum&nonummy=at&integer=lorem&non=integer&velit=tincidunt&donec=ante&diam=vel&neque=ipsum&vestibulum=praesent&eget=blandit&vulputate=lacinia&ut=erat&ultrices=vestibulum&vel=sed&augue=magna&vestibulum=at&ante=nunc&ipsum=commodo&primis=placerat&in=praesent&faucibus=blandit&orci=nam&luctus=nulla&et=integer&ultrices=pede&posuere=justo&cubilia=lacinia&curae=eget&donec=tincidunt&pharetra=eget&magna=tempus&vestibulum=vel&aliquet=pede&ultrices=morbi&erat=porttitor&tortor=lorem&sollicitudin=id&mi=ligula&sit=suspendisse&amet=ornare&lobortis=consequat&sapien=lectus&sapien=in&non=est&mi=risus&integer=auctor&ac=sed&neque=tristique&duis=in&bibendum=tempus&morbi=sit&non=amet&quam=sem&nec=fusce&dui=consequat&luctus=nulla,false,reciprocal
10.08.2017,Crown Victoria,122.7,8092,692,Kwideo,,Bessie,http://time.com/semper.png?pellentesque=massa&at=tempor&nulla=convallis&suspendisse=nulla&potenti=neque&cras=libero&in=convallis&purus=eget&eu=eleifend&magna=luctus&vulputate=ultricies&luctus=eu&cum=nibh&sociis=quisque&natoque=id&penatibus=justo&et=sit&magnis=amet&dis=sapien&parturient=dignissim&montes=vestibulum&nascetur=vestibulum&ridiculus=ante&mus=ipsum&vivamus=primis&vestibulum=in&sagittis=faucibus&sapien=orci&cum=luctus&sociis=et&natoque=ultrices&penatibus=posuere&et=cubilia&magnis=curae&dis=nulla&parturient=dapibus&montes=dolor&nascetur=vel&ridiculus=est&mus=donec&etiam=odio&vel=justo&augue=sollicitudin&vestibulum=ut&rutrum=suscipit&rutrum=a&neque=feugiat&aenean=et&auctor=eros&gravida=vestibulum&sem=ac&praesent=est&id=lacinia,true,clear-thinking
21.07.2020,Ram Wagon B150,122.8,7235,703,Edgepulse,,Kellen,http://washington.edu/faucibus/orci/luctus.html?porta=tempus&volutpat=vivamus&quam=in&pede=felis&lobortis=eu&ligula=sapien&sit=cursus&amet=vestibulum&eleifend=proin&pede=eu&libero=mi&quis=nulla&orci=ac&nullam=enim&molestie=in&nibh=tempor&in=turpis&lectus=nec&pellentesque=euismod&at=scelerisque&nulla=quam&suspendisse=turpis&potenti=adipiscing&cras=lorem&in=vitae&purus=mattis&eu=nibh&magna=ligula&vulputate=nec&luctus=sem&cum=duis&sociis=aliquam&natoque=convallis&penatibus=nunc&et=proin&magnis=at&dis=turpis&parturient=a&montes=pede&nascetur=posuere&ridiculus=nonummy&mus=integer&vivamus=non&vestibulum=velit&sagittis=donec&sapien=diam&cum=neque&sociis=vestibulum&natoque=eget&penatibus=vulputate&et=ut&magnis=ultrices&dis=vel&parturient=augue&montes=vestibulum&nascetur=ante&ridiculus=ipsum&mus=primis&etiam=in&vel=faucibus&augue=orci&vestibulum=luctus&rutrum=et&rutrum=ultrices&neque=posuere&aenean=cubilia&auctor=curae&gravida=donec&sem=pharetra&praesent=magna&id=vestibulum&massa=aliquet&id=ultrices&nisl=erat&venenatis=tortor&lacinia=sollicitudin&aenean=mi&sit=sit&amet=amet&justo=lobortis&morbi=sapien&ut=sapien&odio=non,true,homogeneous
25.02.2017,F-Series,11.6,3066,189,Oyope,,Trescha,,false,budgetary management
24.07.2019,Prelude,136.4,7566,729,Oodoo,Training,Perla,,false,
27.12.2017,Accent,62.5,7603,346,Photobean,,Rickard,,false,
07.09.2019,57,135.2,4494,302,Bluejam,,Gaspar,,,
12.07.2019,4000s Quattro,114.7,9797,120,Skivee,Business Development,Tamas,,false,dynamic
31.12.2017,Savana 2500,131.6,7832,210,Dablist,,Calhoun,,false,
